Year,Vulnerability Type,Count,Severity,CVSS Score,Exploitability Score,Affected Devices,Impact
2021,Insecure Direct Object Reference,6,Medium,7.7,0.94,API,Unauthorized access  System control
2021,Misconfiguration    Security Headers,30,Critical,5.6,0.63,Database,Privilege escalation   Denial    Service
2021,XML External Entity (XXE),28,Medium,9.1,0.82,Storage,Remote code execution
2023,Server  Side Request Forgery,20,High,9.4,0.64,Switch,Privilege escalation   Denial    Service
2021,Buffer Overflow,40,High,7.5,0.72,API,Detection delay   Long  term impact
2021,Race Condition,21,Low,4.9,0.98,Router,Detection delay   Long  term impact
2023,Buffer Overflow,1,Low,10.0,0.58,Server,Unauthorized access   Data loss
2021,Comm  Injection,41,Medium,4.2,0.92,IoT Devices,Unauthorized access   System control
2021,Insecure Direct Object Reference,38,High,7.0,0.83,Database,Sensitive data leak
2022,Race Condition,28,Critical,4.6,0.85,IoT Devices,Privilege escalation   Denial    Service
2023,XML External Entity (XXE),25,High,6.1,0.6,Web Application,Sensitive data leak
2021,Cross  Site Request Forgery,14,Low,6.0,0.54,Cameras,Data exposure
2023,Cross  Site Scripting,26,Medium,5.5,0.84,Router,Privilege escalation   Denial    Service
2021,XML External Entity (XXE),14,High,5.2,0.58,Server,Remote code execution
2021,Remote File Inclusion,24,Medium,9.0,0.95,Cameras,Unauthorized access   Data loss
2021,Cross  Site Request Forgery,43,Critical,8.7,0.71,API,Privilege escalation   Denial    Service
2021,Cross  Site Scripting,21,High,6.1,0.99,Cameras,Session hijacking
2022,Server  Side Request Forgery,35,Low,6.6,0.52,Firmware,Data theft   Remote code execution
2021,Improper Input Validation,43,Low,8.3,0.53,Server,Data exposure
2023,Comm  Injection,22,Medium,9.1,0.89,API,System takeover   Privilege escalation
2023,Race Condition,33,High,8.4,0.85,Storage,Session hijacking
2023,Remote File Inclusion,13,Low,8.6,0.86,Switch,Session hijacking
2022,Insufficient Logging   Monitoring,9,Medium,8.5,0.85,Router,Remote code execution
2021,Cross  Site Request Forgery,14,Critical,8.9,0.55,Database,Unauthorized access   Data loss
2022,Misconfiguration    Security Headers,48,Low,6.2,0.92,Cameras,Unauthorized access   Data loss
2023,Weak Cryptography,3,Critical,5.4,0.94,IoT Devices,Unauthorized access   Data loss
2023,Information Disclosure,41,Medium,8.9,0.72,Database,Unauthorized access   Data loss
2022,Directory Traversal,42,Critical,8.3,0.51,Router,System takeover   Privilege escalation
2021,Insufficient Logging   Monitoring,16,Low,5.4,0.82,Storage,System takeover   Privilege escalation
2021,Misconfiguration    Security Headers,45,Low,9.5,0.6,API,Data exposure
2023,Insufficient Logging   Monitoring,10,Low,5.7,0.84,Cameras,Sensitive data leak
2022,Cross  Site Request Forgery,47,Medium,8.6,0.75,Web Application,Detection delay   Long  term impact
2021,Cross  Site Request Forgery,31,Low,6.5,0.58,IoT Devices,Session hijacking
2022,Remote File Inclusion,8,Critical,5.7,0.88,Database,Unauthorized access   System control
2023,Insufficient Logging   Monitoring,48,Medium,8.6,0.83,Switch,Detection delay   Long  term impact
2022,Insecure Direct Object Reference,24,Critical,9.8,0.69,Web Application,Remote code execution
2023,Privilege Escalation,44,Medium,9.2,0.94,Web Application,System takeover   Privilege escalation
2022,XML External Entity (XXE),49,High,7.0,0.52,Storage,Detection delay   Long  term impact
2021,Remote File Inclusion,12,Critical,5.3,0.71,Firmware,Session hijacking
